Date,Price,Open,High,Low,Vol.,Change %
1/3/2009,7608.92,7056.48,7931.33,6469.95,10.56B,7.73%
1/4/2009,8168.12,7606.13,8307.51,7483.87,7.80B,7.35%
1/5/2009,8500.33,8167.41,8591.93,8099.31,6.73B,4.07%
1/6/2009,8447.00,8501.53,8877.93,8259.43,5.52B,-0.63%
1/7/2009,9171.61,8447.53,9246.43,8087.19,4.90B,8.58%
1/8/2009,9496.28,9173.65,9630.20,9116.52,4.04B,3.54%
1/9/2009,9712.28,9492.32,9917.99,9252.93,4.48B,2.27%
1/10/2009,9712.73,9711.60,10119.47,9430.08,5.15B,0.00%
1/11/2009,10344.84,9712.13,10495.61,9678.95,3.81B,6.51%
1/12/2009,10428.05,10343.82,10580.33,10235.63,4.17B,0.80%
1/1/2010,10067.33,10430.69,10729.89,10043.75,4.39B,-3.46%
1/2/2010,10325.26,10068.99,10438.55,9835.09,4.28B,2.56%
1/3/2010,10856.63,10326.10,10955.48,10326.10,4.39B,5.15%
1/4/2010,11008.61,10857.31,11258.01,10844.09,4.24B,1.40%
1/5/2010,10136.63,11009.60,11177.67,9774.48,5.61B,-7.92%
1/6/2010,9774.02,10133.94,10594.16,9753.84,4.94B,-3.58%
1/7/2010,10465.94,9773.27,10584.99,9614.32,4.20B,7.08%
1/8/2010,10014.72,10468.82,10719.94,9936.62,4.12B,-4.31%
1/9/2010,10788.05,10016.01,10948.88,10016.01,3.76B,7.72%
1/10/2010,11118.49,10789.72,11247.60,10711.12,3.79B,3.06%
1/11/2010,11006.02,11120.30,11451.53,10929.28,3.81B,-1.01%
1/12/2010,11577.51,11007.23,11625.00,11007.23,3.25B,5.19%
1/1/2011,11891.93,11577.43,12020.52,11573.87,3.68B,2.72%
1/2/2011,12226.34,11892.50,12391.29,11892.50,3.22B,2.81%
1/3/2011,12319.73,12226.49,12383.46,11555.48,3.85B,0.76%
1/4/2011,12810.54,12321.02,12832.83,12093.89,3.32B,3.98%
1/5/2011,12569.79,12810.16,12876.00,12309.52,3.58B,-1.88%
1/6/2011,12414.34,12569.41,12569.49,11862.53,3.88B,-1.24%
1/7/2011,12143.24,12412.07,12753.89,12083.45,3.09B,-2.18%
1/8/2011,11613.53,12144.22,12282.42,10604.07,6.20B,-4.36%
1/9/2011,10913.38,11613.30,11716.84,10597.14,4.40B,-6.03%
1/10/2011,11955.01,10912.10,12284.31,10404.49,3.91B,9.54%
1/11/2011,12045.68,11951.53,12187.51,11231.56,3.40B,0.76%
1/12/2011,12217.56,12046.21,12328.47,11735.19,3.15B,1.43%
1/1/2012,12632.91,12221.19,12841.95,12221.19,2.98B,3.40%
1/2/2012,12952.07,12632.76,13055.75,12632.76,2.71B,2.53%
1/3/2012,13212.04,12952.29,13289.08,12734.86,3.20B,2.01%
1/4/2012,13213.63,13211.36,13297.11,12710.56,2.57B,0.01%
1/5/2012,12393.45,13214.16,13338.66,12311.56,3.05B,-6.21%
1/6/2012,12880.09,12391.56,12898.94,12035.09,2.92B,3.93%
1/7/2012,13008.68,12879.71,13128.64,12492.25,2.58B,1.00%
